loss,denorm_mae,val_loss,val_denorm_mae
0.5892,1.6642,0.4161,1.3854
0.3601,1.2784,0.3471,1.2414
0.2809,1.1241,0.3158,1.1804
0.228,1.0179,0.311,1.1619
0.1895,0.9352,0.3094,1.1594
0.1618,0.8696,0.3203,1.1897
0.1412,0.8167,0.332,1.227
0.1255,0.7728,0.3174,1.1707
0.1122,0.7334,0.3121,1.1425
0.1014,0.6992,0.3157,1.1594
0.0934,0.6736,0.3248,1.1658
0.0854,0.6455,0.3142,1.1396
0.0791,0.6216,0.3162,1.1518
0.0735,0.6009,0.3177,1.1555
0.0685,0.5813,0.3067,1.1249
0.0643,0.5637,0.3125,1.1564
0.0609,0.5492,0.3342,1.2278
0.0575,0.5337,0.3058,1.1395
0.0537,0.5167,0.3044,1.1111
0.0514,0.505,0.3065,1.1204
0.0493,0.4951,0.3017,1.1079
0.0474,0.4859,0.3119,1.1306
0.0459,0.4784,0.3153,1.1356
0.0439,0.4681,0.3114,1.1271
0.0424,0.4594,0.3008,1.105

